Minutes Index, Status Register, Accumulated Charge, Voltage, Current
434, 0, 43297, 7.498, -0.666
435, 0, 43278, 7.500, -0.644
436, 0, 43258, 7.498, -0.663
437, 0, 43239, 7.498, -0.660
438, 0, 43219, 7.496, -0.672
439, 0, 43200, 7.499, -0.645
440, 0, 43180, 7.496, -0.664
441, 0, 43160, 7.496, -0.663
442, 0, 43141, 7.492, -0.681
443, 0, 43121, 7.500, -0.631
444, 0, 43102, 7.492, -0.670
445, 0, 43082, 7.492, -0.678
446, 0, 43063, 7.492, -0.674
447, 0, 43043, 7.498, -0.638
448, 0, 43024, 7.490, -0.678
449, 0, 43004, 7.493, -0.662
450, 0, 42984, 7.490, -0.676
451, 0, 42965, 7.496, -0.641
452, 0, 42945, 7.487, -0.675
453, 0, 42926, 7.492, -0.657
454, 0, 42906, 7.487, -0.683
455, 0, 42887, 7.494, -0.640
456, 0, 42867, 7.488, -0.674
457, 0, 42847, 7.489, -0.664
458, 0, 42828, 7.487, -0.680
459, 0, 42808, 7.490, -0.647
460, 0, 42789, 7.486, -0.673
461, 0, 42769, 7.486, -0.671
462, 0, 42750, 7.485, -0.684
463, 0, 42730, 7.487, -0.653
464, 0, 42710, 7.483, -0.685
465, 0, 42691, 7.485, -0.670
466, 0, 42671, 7.484, -0.676
467, 0, 42652, 7.489, -0.647
468, 0, 42632, 7.482, -0.681
469, 0, 42612, 7.483, -0.676
470, 0, 42593, 7.482, -0.675
471, 0, 42573, 7.486, -0.653
472, 0, 42554, 7.481, -0.678
473, 0, 42534, 7.478, -0.679
474, 0, 42515, 7.482, -0.667
475, 0, 42495, 7.482, -0.666
476, 0, 42475, 7.480, -0.671
477, 0, 42456, 7.477, -0.686
478, 0, 42436, 7.481, -0.664
479, 0, 42416, 7.479, -0.672
480, 0, 42397, 7.477, -0.681
481, 0, 42377, 7.475, -0.687
482, 0, 42358, 7.478, -0.668
483, 0, 42338, 7.477, -0.674
484, 0, 42318, 7.477, -0.672
485, 0, 42299, 7.473, -0.690
486, 0, 42279, 7.477, -0.665
487, 0, 42260, 7.473, -0.671
488, 0, 42240, 7.475, -0.672
489, 0, 42220, 7.472, -0.682
490, 0, 42201, 7.475, -0.663
491, 0, 42181, 7.473, -0.676
492, 0, 42162, 7.472, -0.679
493, 0, 42142, 7.469, -0.684
494, 0, 42122, 7.473, -0.668
495, 0, 42103, 7.471, -0.700
496, 0, 42083, 7.470, -0.676
497, 0, 42063, 7.467, -0.689
498, 0, 42044, 7.473, -0.648
499, 0, 42024, 7.468, -0.676
500, 0, 42005, 7.469, -0.669
501, 0, 41985, 7.466, -0.687
502, 0, 41965, 7.472, -0.649
503, 0, 41946, 7.467, -0.676
504, 0, 41926, 7.465, -0.670
505, 0, 41906, 7.464, -0.681
506, 0, 41887, 7.470, -0.646
507, 0, 41867, 7.464, -0.679
508, 0, 41847, 7.466, -0.662
509, 0, 41828, 7.462, -0.684
510, 0, 41808, 7.468, -0.644
511, 0, 41789, 7.463, -0.672
512, 0, 41769, 7.463, -0.671
513, 0, 41749, 7.462, -0.673
514, 0, 41730, 7.466, -0.647
515, 0, 41710, 7.460, -0.675
516, 0, 41691, 7.457, -0.674
517, 0, 41671, 7.460, -0.672
518, 0, 41651, 7.463, -0.642
519, 0, 41632, 7.458, -0.674
520, 0, 41612, 7.459, -0.669
521, 0, 41593, 7.456, -0.676
522, 0, 41573, 7.460, -0.649
523, 0, 41553, 7.456, -0.673
524, 0, 41534, 7.456, -0.665
525, 0, 41514, 7.456, -0.665
526, 0, 41495, 7.458, -0.646
527, 0, 41475, 7.454, -0.670
528, 0, 41456, 7.453, -0.672
529, 0, 41436, 7.454, -0.666
530, 0, 41416, 7.455, -0.641
531, 0, 41397, 7.453, -0.663
532, 0, 41377, 7.451, -0.669
533, 0, 41358, 7.452, -0.656
534, 0, 41338, 7.453, -0.644
535, 0, 41318, 7.450, -0.654
536, 0, 41299, 7.447, -0.674
537, 0, 41279, 7.449, -0.659
538, 0, 41260, 7.447, -0.655
539, 0, 41240, 7.446, -0.667
